"""%s"" cannot be moved.","""%s"" nie może zostać przeniesiony."
"""%s"" is already present in %s.","""%s"" jest już obecny w %s."
"""%s"" was successfully copied to %s.","""%s"" został pomyślnie skopiowany do %s."
"""%s"" was successfully moved to %s.","""%s"" został pomyślnie przeniesiony do %s."
"%d items","%d elementów"
"%d items are already present in %s: %s.","%d elementów jest już obecnych w %s: %s."
"%d items cannot be moved: %s.","%d elementów nie może zostać przeniesionych: %s."
"%d items could not be copied.","%d elementów nie może zostać skopiowanych."
"%d items could not be moved.","%d elementów nie może zostać przeniesionych."
"%d items were copied to %s: %s.","%d elementów zostało skopiowanych do %s: %s."
"%d items were not found.","%d elementów nie zostało znalezionych."
"%d items were successfully moved to %s: %s.","%d elementów zostało przeniesionych do %s: %s."
"%s for ""%s"".","%s dla ""%s""."
"%s\'s Wishlist","Schowek użytkownika %s\"
"%s\'s Wishlist (%s)","Schowek (%s) użytkownika %s\'s"
"* Required Fields","* wymagane pola"
"1 item","1 element"
"Actions","Operacje"
"Add to Cart","Dodaj do koszyka"
"Add to Wishlist","Dodaj do schowka"
"Add to:","Dodaj do:"
"Added at","Dodane do"
"All Forms","Wszystkie formularze"
"All Wishlists","Wszystkie schowki"
"An error occurred during wishlist deletion.","Wystąpił błąd podczas usuwania zawartości schowka."
"Back","Powrót"
"Cancel","Anuluj"
"Change","Zmień"
"Comment","Komentarz"
"Copy To Wishlist","Skopiuj do schowka"
"Copy To:","Skopiować do:"
"Copy to Wishlist","Skopiuj do schowka"
"Copy to:","Skopiować do:"
"Could not add item to shopping cart.","Nie można dodać elementu do koszyka."
"Could not copy ""%s"".","Nie można skopiować ""%s""."
"Could not copy wishlist item.","Nie można skopiować elementu schowka."
"Could not move wishlist item.","Nie można przenieść elementu schowka."
"Could not perform search","Nie można przeprowadzić wyszukiwania"
"Create New Wishlist","Utwórz nowy schowek"
"Customer Name","Nazwa klienta"
"Customer's Wishlist Report","Raport schowka klienta"
"Customer's Wishlists","Schowek klienta"
"Customer's wishlists","Schowek klienta"
"Customers","Klienci"
"Default wishlist cannot be deleted","Domyślny schowek nie może zostać usunięty"
"Delete Wishlist","Usuń schowek"
"Difference between qtys","Różnica w ilości"
"Display Wishlists Summary","Wyświetl podsumowanie schowka"
"Edit","Edytuj"
"Edit Wishlist","Edytuj schowek"
"Enable Multiple Wishlists","Włącz wiele schowków"
"Enter at least two letters","Wprowadź co najmniej dwie litery"
"Error happened during wishlist creation","Wystąpił błąd podczas tworzenia schowka"
"Error happened during wishlist creation. Try again later","Wystąpił błąd podczas tworzenia schowka. Spróbuj ponownie później"
"First Name","Imię"
"Go","Przejdź"
"Item was not found.","Element nie został znaleziony."
"Item with specified ID doesn't exist.","Element o określonym ID nie istnieje."
"Last Name","Nazwisko"
"Log in to edit wishlists.","Zaloguj się, aby edytować schowek."
"Make This Wishlist Public","Opublikuj ten schowek"
"Move To Wishlist","Przenieś do schowka"
"Move To:","Przenieś do:"
"Move to Wishlist","Przenieś do schowka"
"Move to:","Przenieś do:"
"My Wishlists","Mój schowek"
"My Wishlists (%d item)","Schowek (%d produkt)"
"My Wishlists (%d items)","Schowek (%d produktów)"
"My Wishlists <small>(%d)</small>","Mój schowek <small>(%d)</small>"
"My Wishlists Link","Link do mojego schowka"
"Name","Nazwa"
"Note: The number of multiple wishlists should be equal or more than 2.","Uwaga: Liczba schowków powinna być równa lub większa niż 2."
"Number of Multiple Wishlists","Liczba schowków"
"Only %d wishlists can be created.","Może zostać utworzonych tylko %d schowków."
"Owner","Właściciel"
"Owner Email","Adres e-mail właściciela"
"Please enter at least 2 letters of the first name.","Podaj co najmniej 2 litery imienia."
"Please enter at least 2 letters of the last name.","Podaj co najmniej 2 litery imienia."
"Please enter at least 2 letters.","Podaj co najmniej 2 litery."
"Please input a valid email address.","Prosimy wpisać poprawny adres e-mail."
"Please specify correct search options.","Określ prawidłowe opcje wyszukiwania."
"Price","Cena"
"Private","Prywatny"
"Product Info","Informacje o produkcie"
"Product Name","Nazwa produktu"
"Product SKU","SKU produktu"
"Provide wishlist name","Wprowadź nazwę schowka"
"Public","Publiczny"
"Qty","Ilość"
"Qty available in store","Ilość dostępna w magazynie"
"Qty in wishlist","Ilość w schowku"
"Quick Search Form Types","Wybór formularza wyszukiwania"
"RSS Feed","Kanał RSS"
"Reports","Raporty"
"Save","Zapisz"
"Search","Szukaj"
"Search By","Szukaj według"
"Search Options","Opcje wyszukiwania"
"Search Results","Wyniki wyszukiwania"
"Select Search Type","Wybierz typ wyszukiwania"
"Select items to copy","Wybierz elementy do skopiowania"
"Select items to move","Wybierz elementy do przeniesienia"
"Template","Szablon"
"The wishlist is not assigned to your account and cannot be edited ","Ten schowek nie jest przypisany do twojego konta i nie może być edytowany "
"This wishlist is private. Only you can view this wishlist.","Ten schowek jest prywatny. Tylko Ty możesz zobaczyć zawartość schowka."
"This wishlist is publicly visible.","Ten schowek jest widoczny publicznie."
"Unit Price","Cena jednostkowa"
"Updated at","Zaktualizowano"
"View","Zobacz"
"Wanted Qty","Ilość poszukiwanych"
"Wishlist ""%s"" has been deleted.","Schowek ""%s"" został usunięty."
"Wishlist ""%s"" was successfully saved","Schowek ""%s"" został pomyślnie zapisany"
"Wishlist Info","Informacje o schowku"
"Wishlist Items","Elementy schowka"
"Wishlist Name","Nazwa schowka"
"Wishlist Owner Email Search","Wyszukiwanie według adresów e-mail właścicieli schowków"
"Wishlist Owner Name Search","Wyszukiwanie według imion właścicieli schowków"
"Wishlist Search","Wyszukiwanie schowka"
"Wishlist Search Description","Opis wyszukiwania schowka"
"Wishlist Search Template","Domyślny szablon wyszukiwania"
"Wishlist Status","Status schowka"
"Wishlist name","Nazwa schowka"
"Wishlist:","Schowek:"
"You are about to delete your wish list.\nThis action cannot be undone.\nDo you want to proceed?","Masz zamiar usunąć twój schowek. \nTej akcji nie można cofnąć. \nCzy chcesz kontynuować?"
"You must select items to add to cart","Należy dodać produkty do koszyka"
"Your search returned no results.","Brak wyników wyszukiwania."
